Place or organization,Province/territory,Region,Corporation,Reporting level,Indicator,Time scale,Time frame,Level 1 breakdown,Level 1 breakdown value,Level 2 breakdown,Level 2 breakdown value,Level 3 breakdown,Level 3 breakdown value,Risk-adjusted rate,Unit of measure,Confidence interval lower limit,Confidence interval upper limit,Numerator,Statistically different,Performance comparison,Performance trend,Top results,Denominator,Expected,Urban or rural/remote,Hospital peer group,Long-Term Care Facility Size,Trend note,Refresh date
Roblin District Health Centre (Man.),Manitoba,Prairie Mountain Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16.2,per 100,11.06,22.84,-,Yes,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Covenant Health Mineral Springs Hospital (Alta.),Alberta,Calgary Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4.5,per 100,2.31,7.81,-,Yes,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Fishermen’s Memorial Hospital (N.S.),Nova Scotia,Western Zone (N.S.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4.5,per 100,1.46,10.61,-,No,,,,-,-,Rural/remote,Community—Small,Small,-,"October 14, 2025"
Grandview District Hospital (Man.),Manitoba,Prairie Mountain Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4.5,per 100,1.81,9.28,-,Yes,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Haida Gwaii Hospital and Health Centre (B.C.),British Columbia,Northern Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4.5,per 100,1.46,10.61,-,No,,,,-,-,Rural/remote,Community—Small,Small,-,"October 14, 2025"
St. Joseph’s Health Care London (Ont.),Ontario,West Region (Ont.),St. Joseph’s Health Care London (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4.5,per 100,3.20,6.15,-,Yes,,,,-,-,Not applicable,Teaching,Not applicable,-,"October 14, 2025"
Russell Health Centre (Man.),Manitoba,Prairie Mountain Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,15.4,per 100,12.47,18.89,-,Yes,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Emmanuel Health - St. Anthony’s Hospital (Sask.),Saskatchewan,South East Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14.2,per 100,10.08,19.55,-,Yes,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Princeton General Hospital (B.C.),British Columbia,Interior Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14.2,per 100,9.82,19.82,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Russell Health Centre (Man.),Manitoba,Prairie Mountain Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14.2,per 100,11.72,17.02,-,Yes,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Southwest Integrated Healthcare Facility (Sask.),Saskatchewan,South West Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14.2,per 100,9.91,19.59,-,Yes,,,,-,-,Rural/remote,Community—Small,Medium,"Data previously attributed to Cypress Lodge - Maple Creek (Sask.) will now be attributed to Southwest Integrated Healthcare Facility (Sask.) as of October 22, 2016. Please interpret trends with caution.","October 14, 2025"
Manning Community Health Centre (Alta.),Alberta,North Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13.0,per 100,8.33,19.36,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
McBride and District Hospital (B.C.),British Columbia,Northern Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13.0,per 100,6.93,22.29,-,No,,,,-,-,Rural/remote,Community—Small,Small,-,"October 14, 2025"
Minnedosa District Hospital (Man.),Manitoba,Prairie Mountain Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13.0,per 100,9.43,17.42,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Tri-Lake Health District (Man.),Manitoba,Prairie Mountain Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13.0,per 100,8.74,18.49,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Wadena Hospital (Sask.),Saskatchewan,South East Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13.0,per 100,8.39,19.15,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Carberry Health Center (Man.),Manitoba,Prairie Mountain Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,17.3,per 100,10.83,26.16,-,Yes,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Carberry Health Center (Man.),Manitoba,Prairie Mountain Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5.3,per 100,1.92,11.47,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Glenboro Health Centre (Man.),Manitoba,Prairie Mountain Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13.2,per 100,6.30,24.20,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Leader and District Integrated Healthcare Facility (Sask.),Saskatchewan,South West Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13.2,per 100,6.58,23.63,-,No,Same as average performance,No change,Not a top result,-,7.9,Rural/remote,Community—Small,Medium,"Data previously attributed to Leader Primary Care (Sask.) and Western Senior Citizens Home (Sask.) will now be attributed to Leader and District Integrated Healthcare Facility (Sask.) as of September 27, 2018. Please interpret trends with caution.","October 14, 2025"
Rimbey Hospital and Care Centre (Alta.),Alberta,Central Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13.2,per 100,9.70,17.56,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Unity and District Health Centre (Sask.),Saskatchewan,North Central West Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13.2,per 100,9.37,18.01,-,Yes,,,,-,-,Rural/remote,Community—Small,Medium,-,"October 14, 2025"
Yutthe Dene Nakohodi Health Centre (Sask.),Saskatchewan,Far North Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13.2,per 100,7.23,22.21,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Arborg and Districts Health Centre (Man.),Manitoba,Interlake–Eastern Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5.6,per 100,2.87,9.70,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Mackenzie and District Hospital and Health Centre (B.C.),British Columbia,Northern Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5.6,per 100,1.80,13.07,-,No,,,,-,-,Rural/remote,Community—Small,Small,-,"October 14, 2025"
Mayerthorpe Healthcare Centre (Alta.),Alberta,North Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5.6,per 100,3.39,8.58,-,Yes,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Sir Thomas Roddick Hospital (N.L.),Newfoundland and Labrador,Western Zone (N.L.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5.6,per 100,4.09,7.41,-,Yes,,,,-,-,Rural/remote,Community—Medium,Not applicable,-,"October 14, 2025"
St. Joseph’s Health Care London (Ont.),Ontario,West Region (Ont.),St. Joseph’s Health Care London (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5.6,per 100,4.09,7.45,-,Yes,Above average performance,No change,Top result,-,77.7,Not applicable,Teaching,Not applicable,-,"October 14, 2025"
Kamsack Hospital and Nursing Home (Sask.),Saskatchewan,South East Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13.6,per 100,10.68,16.97,-,Yes,,,,-,-,Rural/remote,Community—Small,Medium,-,"October 14, 2025"
Wadena Hospital (Sask.),Saskatchewan,South East Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13.6,per 100,8.86,19.88,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Bella Coola General Hospital (B.C.),British Columbia,Vancouver Coastal Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13.8,per 100,8.28,21.48,-,No,,,,-,-,Rural/remote,Community—Small,Small,-,"October 14, 2025"
Fraser Canyon Hospital (B.C.),British Columbia,Fraser Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13.8,per 100,11.03,17.12,-,Yes,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Kelvington Hospital (Sask.),Saskatchewan,South East Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13.8,per 100,8.94,20.41,-,No,Same as average performance,No change,Not a top result,-,17.1,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Broadview Union Hospital (Sask.),Saskatchewan,South East Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,17.0,per 100,8.47,30.40,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Wabasca/Desmarais Healthcare Centre (Alta.),Alberta,North Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,15.1,per 100,7.53,27.02,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Seton (Jasper) Healthcare Centre (Alta.),Alberta,North Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4.9,per 100,1.58,11.44,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Soldiers Memorial Hospital (N.S.),Nova Scotia,Western Zone (N.S.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4.9,per 100,2.81,7.98,-,Yes,,,,-,-,Rural/remote,Community—Small,Small,-,"October 14, 2025"
Fort Smith Health Centre (N.W.T.),Northwest Territories,Fort Smith Health and Social Services Authority (N.W.T.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14.0,per 100,8.79,21.25,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Seton (Jasper) Healthcare Centre (Alta.),Alberta,North Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14.0,per 100,6.01,27.51,-,No,Same as average performance,No change,Not a top result,-,5.4,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Athabasca Healthcare Centre (Alta.),Alberta,North Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.6,per 100,7.96,16.43,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Boundary District Hospital (B.C.),British Columbia,Interior Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.6,per 100,9.03,14.75,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Covenant Health Bonnyville Healthcare Centre (Alta.),Alberta,North Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.6,per 100,9.65,13.83,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Hinton Healthcare Centre (Alta.),Alberta,North Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.6,per 100,8.48,15.45,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Lake of the Woods District Hospital Corporation (Ont.),Ontario,North West Region (Ont.),Lake of the Woods District Hospital Corporation (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.6,per 100,9.99,13.45,-,Yes,,,,-,-,Not applicable,Community—Medium,Not applicable,-,"October 14, 2025"
