Place or organization,Province/territory,Region,Corporation,Reporting level,Indicator,Time scale,Time frame,Level 1 breakdown,Level 1 breakdown value,Level 2 breakdown,Level 2 breakdown value,Level 3 breakdown,Level 3 breakdown value,Risk-adjusted rate,Unit of measure,Confidence interval lower limit,Confidence interval upper limit,Numerator,Statistically different,Performance comparison,Performance trend,Top results,Denominator,Expected,Urban or rural/remote,Hospital peer group,Long-Term Care Facility Size,Trend note,Refresh date
Arrow Lakes Hospital (B.C.),British Columbia,Interior Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,6.30,16.81,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
CRSSS de la Baie-James (Que.),Quebec,Nord-du-Québec Region (Que.),CRSSS de la Baie-James (Que.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,8.77,12.71,-,No,,,,-,-,Not applicable,Community—Small,Not applicable,-,"October 14, 2025"
Emmanuel Health - St. Paul’s Hospital (Sask.),Saskatchewan,Saskatoon Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,9.97,11.33,-,Yes,,,,-,-,Urban,Teaching,Not applicable,-,"October 14, 2025"
Espanola General Hospital (Ont.),Ontario,North East Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,7.59,14.47,-,No,,,,-,-,Rural/remote,Community—Small,Medium,-,"October 14, 2025"
Fox Creek Healthcare Centre (Alta.),Alberta,North Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,4.54,20.79,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Fraser Canyon Hospital (B.C.),British Columbia,Fraser Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,7.93,13.93,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Hamiota District Health Centre (Man.),Manitoba,Prairie Mountain Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,6.55,16.18,-,No,Same as average performance,No change,Not a top result,-,18.7,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Hôpital de Mattawa Hospital (Ont.),Ontario,North East Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,7.64,14.44,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Hôpital Notre-Dame Hospital (Ont.),Ontario,North East Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,7.81,14.14,-,No,Same as average performance,No change,Not a top result,-,41.7,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Invermere and District Hospital (B.C.),British Columbia,Interior Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,7.47,14.62,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Kindersley and District Health Centre (Sask.),Saskatchewan,South West Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,6.81,15.83,-,No,,,,-,-,Rural/remote,Community—Small,Medium,-,"October 14, 2025"
Kingston Health Sciences Centre (Ont.),Ontario,East Region (Ont.),Kingston Health Sciences Centre (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,10.16,11.13,-,Yes,,,,-,-,Not applicable,Teaching,Not applicable,-,"October 14, 2025"
Kipling Integrated Health Centre (Sask.),Saskatchewan,South East Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,6.61,15.99,-,No,,,,-,-,Rural/remote,Community—Small,Medium,"Data previously attributed to Willowdale Lodge - Kipling (Sask.) will now be attributed to Kipling Integrated Health Centre (Sask.) as of December 08, 2014. Please interpret trends with caution.","October 14, 2025"
Kitimat Hospital and Health Centre (B.C.),British Columbia,Northern Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,8.02,13.79,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Kootenay Boundary Regional Hospital (B.C.),British Columbia,Interior Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,9.44,11.90,-,Yes,,,,-,-,Urban,Community—Medium,Not applicable,-,"October 14, 2025"
Labrador–Grenfell Zone (N.L.),Newfoundland and Labrador,Labrador–Grenfell Zone (N.L.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,9.25,12.15,-,No,,,,-,-,Not applicable,-,Not applicable,-,"October 14, 2025"
London Health Sciences Centre (Ont.),Ontario,West Region (Ont.),London Health Sciences Centre (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,10.25,10.87,-,Yes,Below average performance,Weakening,Not a top result,-,"4,051.1",Not applicable,Teaching,Not applicable,-,"October 14, 2025"
Neepawa Health Centre (Man.),Manitoba,Prairie Mountain Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,8.14,13.56,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Nord-du-Québec Region (Que.),Quebec,Nord-du-Québec Region (Que.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,8.77,12.71,-,No,,,,-,-,Not applicable,-,Not applicable,-,"October 14, 2025"
North Central East Zone (Sask.),Saskatchewan,North Central East Zone (Sask.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,9.86,11.36,-,Yes,,,,-,-,Not applicable,-,Not applicable,-,"October 14, 2025"
Northern Lights Regional Health Centre (Alta.),Alberta,North Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,9.40,11.86,-,Yes,,,,-,-,Urban,Community—Medium,Not applicable,-,"October 14, 2025"
Northwest Health Facility (Sask.),Saskatchewan,North Central West Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,8.47,13.07,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Pine Falls Health Complex (Man.),Manitoba,Interlake–Eastern Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,6.71,15.88,-,No,Same as average performance,No change,Not a top result,-,20.5,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Port Hardy Hospital (B.C.),British Columbia,Island Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,6.99,15.43,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Provost Health Centre (Alta.),Alberta,Central Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,7.54,14.37,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
qathet General Hospital (B.C.),British Columbia,Vancouver Coastal Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,8.96,12.40,-,No,,,,-,-,Urban,Community—Small,Not applicable,-,"October 14, 2025"
Riverside Health Care Facilities Inc. (Ont.),Ontario,North West Region (Ont.),Riverside Health Care Facilities Inc. (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,8.70,12.79,-,No,,,,-,-,Not applicable,Community—Small,Not applicable,-,"October 14, 2025"
Sinai Health System (Ont.),Ontario,Toronto Region (Ont.),Sinai Health System (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,10.01,11.15,-,Yes,,,,-,-,Not applicable,Teaching,Not applicable,-,"October 14, 2025"
Sinai Health System (Ont.),Ontario,Toronto Region (Ont.),Sinai Health System (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,10.05,11.13,-,Yes,Below average performance,Weakening,Not a top result,-,"1,325.5",Not applicable,Teaching,Not applicable,-,"October 14, 2025"
Sioux Lookout Meno Ya Win Health Centre (Ont.),Ontario,North West Region (Ont.),Sioux Lookout Meno Ya Win Health Centre (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,9.08,12.33,-,No,,,,-,-,Not applicable,Community—Medium,Not applicable,-,"October 14, 2025"
Sioux Lookout Meno Ya Win Health Centre (Ont.),Ontario,North West Region (Ont.),Sioux Lookout Meno Ya Win Health Centre (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,9.14,12.24,-,No,Same as average performance,No change,Not a top result,-,166.4,Not applicable,Community—Medium,Not applicable,-,"October 14, 2025"
St. Therese-St. Paul Healthcare Centre (Alta.),Alberta,North Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,8.50,12.96,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Ste. Anne Hospital (Man.),Manitoba,Southern Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,7.18,14.99,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Thunder Bay Regional Health Sciences Centre (Ont.),Ontario,North West Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,10.09,11.09,-,Yes,,,,-,-,Urban,Teaching,Not applicable,-,"October 14, 2025"
Tofino General Hospital (B.C.),British Columbia,Island Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,7.54,14.51,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
University Hospital of Northern British Columbia (B.C.),British Columbia,Northern Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,9.88,11.32,-,Yes,Below average performance,Weakening,Not a top result,-,753.5,Urban,Teaching,Not applicable,-,"October 14, 2025"
Vernon Jubilee Hospital (B.C.),British Columbia,Interior Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,9.86,11.29,-,Yes,,,,-,-,Urban,Community—Large,Large,-,"October 14, 2025"
Victoria Hospital and Regional Mental Health Centre (Sask.),Saskatchewan,North Central East Zone (Sask.),Victoria Hospital and Regional Mental Health Centre (Sask.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,9.70,11.50,-,Yes,,,,-,-,Not applicable,Community—Large,Not applicable,-,"October 14, 2025"
Virden District Hospital (Man.),Manitoba,Prairie Mountain Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,7.96,13.90,-,No,Same as average performance,No change,Not a top result,-,47.1,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Watrous District Health Complex (Sask.),Saskatchewan,South East Zone (Sask.),Watrous District Health Complex (Sask.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.6,per 100,6.20,17.05,-,No,,,,-,-,Not applicable,Community—Small,Not applicable,-,"October 14, 2025"
Ontario,Ontario,-,-,Province/territory,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,9.59,9.73,-,Yes,,,,-,-,Not applicable,-,Not applicable,-,"October 14, 2025"
Ontario,Ontario,-,-,Province/territory,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,9.66,9.79,-,Yes,Below average performance,Weakening,,-,"88,431.2",Not applicable,-,Not applicable,-,"October 14, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,9.44,9.87,-,Yes,,,,-,-,Not applicable,-,Not applicable,-,"October 14, 2025"
Abbotsford Regional Hospital and Cancer Centre (B.C.),British Columbia,Fraser Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,9.12,10.22,-,Yes,,,,-,-,Urban,Community—Large,Not applicable,"Matsqui-Sumas-Abbotsford General Hospital (B.C.) no longer exists. Data from Matsqui-Sumas-Abbotsford General Hospital (B.C.) will now be attributed to Abbotsford Regional Hospital and Cancer Centre (B.C.) and Cottage-Worthington Pavilion (B.C.) as of August 24, 2008.","October 14, 2025"
Alexandra Hospital (Ont.),Ontario,West Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,7.36,12.42,-,No,Same as average performance,No change,Not a top result,-,58.7,Urban,Community—Small,Not applicable,-,"October 14, 2025"
Arcola Health Centre (Sask.),Saskatchewan,South East Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,6.70,13.52,-,No,Same as average performance,No change,Not a top result,-,33.2,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Barrhead Healthcare Centre (Alta.),Alberta,North Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,7.16,12.88,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Broadview Union Hospital (Sask.),Saskatchewan,South East Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,3.87,19.93,-,No,Same as average performance,No change,,-,6.8,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Canada - Community Hospitals — Small,-,-,-,Hospital peer group,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,9.55,9.86,-,,,,,-,-,-,-,-,-,"October 14, 2025"
Centre hospitalier universitaire Sainte-Justine (Que.),Quebec,Montréal Region (Que.),Centre hospitalier universitaire Sainte-Justine (Que.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,9.06,10.39,-,Yes,,,,-,-,Not applicable,Teaching,Not applicable,-,"October 14, 2025"
Cornwall Community Hospital (Ont.),Ontario,East Region (Ont.),Cornwall Community Hospital (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,8.94,10.47,-,Yes,,,,-,-,Not applicable,Community—Medium,Not applicable,-,"October 14, 2025"
Dauphin Regional Health Centre (Man.),Manitoba,Prairie Mountain Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,8.10,11.60,-,No,,,,-,-,Rural/remote,Community—Medium,Not applicable,-,"October 14, 2025"
Eagle Ridge Hospital (B.C.),British Columbia,Fraser Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,8.94,10.61,-,No,,,,-,-,Urban,Community—Medium,Not applicable,-,"October 14, 2025"
East Region (Ont.),Ontario,East Region (Ont.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,9.53,9.85,-,Yes,,,,-,-,Not applicable,-,Not applicable,-,"October 14, 2025"
East Region (Ont.),Ontario,East Region (Ont.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,9.58,9.87,-,Yes,Below average performance,Weakening,Not a top result,-,"17,139.8",Not applicable,-,Not applicable,-,"October 14, 2025"
Emmanuel Health - St. Joseph’s Hospital (Estevan) (Sask.),Saskatchewan,South East Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,7.58,12.29,-,No,,,,-,-,Urban,Community—Small,Medium,-,"October 14, 2025"
Emmanuel Health - St. Paul’s Hospital (Sask.),Saskatchewan,Saskatoon Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,9.13,10.36,-,Yes,,,,-,-,Urban,Teaching,Not applicable,-,"October 14, 2025"
Fraser Health (B.C.),British Columbia,Fraser Health (B.C.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,9.52,9.92,-,Yes,,,,-,-,Not applicable,-,Not applicable,-,"October 14, 2025"
Fraser Health (B.C.),British Columbia,Fraser Health (B.C.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,9.55,9.95,-,Yes,Below average performance,Weakening,Not a top result,-,"9,242.1",Not applicable,-,Not applicable,-,"October 14, 2025"
Georgian Bay General Hospital (Ont.),Ontario,Central Region (Ont.),Georgian Bay General Hospital (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,8.72,10.67,-,No,,,,-,-,Not applicable,Community—Medium,Not applicable,-,"October 14, 2025"
Haliburton Highlands Health Services (Ont.),Ontario,East Region (Ont.),Haliburton Highlands Health Services (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,6.83,13.37,-,No,,,,-,-,Not applicable,Community—Small,Not applicable,-,"October 14, 2025"
Hanna Health Centre (Alta.),Alberta,Central Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,5.66,15.57,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Hôpital Glengarry Memorial Hospital (Ont.),Ontario,East Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,7.20,12.71,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Hôpital Glengarry Memorial Hospital (Ont.),Ontario,East Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,7.20,12.71,-,No,Same as average performance,No change,Not a top result,-,49.8,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Hospital for Sick Children (Ont.),Ontario,Toronto Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,9.08,10.30,-,No,,,,-,-,Urban,Teaching,Not applicable,-,"October 14, 2025"
Hospital for Sick Children (Ont.),Ontario,Toronto Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,9.07,10.28,-,No,,,,-,-,Urban,Teaching,Not applicable,-,"October 14, 2025"
Invermere and District Hospital (B.C.),British Columbia,Interior Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,6.96,13.17,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Island Health (B.C.),British Columbia,Island Health (B.C.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,9.43,9.93,-,Yes,,,,-,-,Not applicable,-,Not applicable,-,"October 14, 2025"
IWK Health Centre (N.S.),Nova Scotia,IWK Health Centre (N.S.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,8.78,10.63,-,No,,,,-,-,Urban,Teaching,Not applicable,-,"October 14, 2025"
Kelowna General Hospital (B.C.),British Columbia,Interior Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,9.30,10.19,-,No,Same as average performance,Weakening,Not a top result,-,"1,814.1",Urban,Teaching,Not applicable,-,"October 14, 2025"
Kingston Health Sciences Centre (Ont.),Ontario,East Region (Ont.),Kingston Health Sciences Centre (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,9.26,10.15,-,No,,,,-,-,Not applicable,Teaching,Not applicable,-,"October 14, 2025"
Ksyen Regional Hospital (B.C.),British Columbia,Northern Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,8.22,11.38,-,No,,,,-,-,Urban,Community—Medium,Not applicable,-,"October 14, 2025"
Langley Memorial Hospital (B.C.),British Columbia,Fraser Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,9.06,10.40,-,No,Same as average performance,No change,Not a top result,-,793.9,Urban,Community—Large,Not applicable,-,"October 14, 2025"
Mackenzie Health (Ont.),Ontario,Central Region (Ont.),Mackenzie Health (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,9.30,10.06,-,Yes,,,,-,-,Not applicable,Community—Large,Not applicable,-,"October 14, 2025"
Manning Community Health Centre (Alta.),Alberta,North Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,5.41,15.95,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
McBride and District Hospital (B.C.),British Columbia,Northern Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,4.64,17.83,-,No,,,,-,-,Rural/remote,Community—Small,Small,-,"October 14, 2025"
Melfort Hospital (Sask.),Saskatchewan,North Central East Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,7.76,12.08,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Michael Garron Hospital Corporation (Ont.),Ontario,Toronto Region (Ont.),Michael Garron Hospital Corporation (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,9.16,10.31,-,Yes,,,,-,-,Not applicable,Community—Large,Not applicable,-,"October 14, 2025"
Michael Garron Hospital Corporation (Ont.),Ontario,Toronto Region (Ont.),Michael Garron Hospital Corporation (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,9.14,10.21,-,Yes,,,,-,-,Not applicable,Community—Large,Not applicable,-,"October 14, 2025"
MICs Group of Health Services (Ont.),Ontario,North East Region (Ont.),MICs Group of Health Services (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,7.35,12.64,-,No,,,,-,-,Not applicable,Community—Small,Not applicable,-,"October 14, 2025"
