Place or organization,Province/territory,Region,Corporation,Reporting level,Indicator,Time scale,Time frame,Level 1 breakdown,Level 1 breakdown value,Level 2 breakdown,Level 2 breakdown value,Level 3 breakdown,Level 3 breakdown value,Risk-Adjusted Rate,Unit of measure,Confidence interval lower limit,Confidence interval upper limit,Numerator,Statistically different,Performance comparison,Performance trend,Top results,Denominator,Crude rate,Rate Ratio (Income),Potential Rate Reduction (Income),Expected,Urban or rural/remote,Hospital peer group,Long-Term Care Facility Size,Trend note,Refresh date
Prince Edward Island,Prince Edward Island,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Neighbourhood income quintile,Q5 (highest income),Not applicable,Not applicable,Not applicable,Not applicable,6.4,per 100,2.19,17.32,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2023–2024,Neighbourhood income quintile,Q2,Not applicable,Not applicable,Not applicable,Not applicable,6.4,per 100,4.11,9.93,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Neighbourhood income quintile,Q3,Not applicable,Not applicable,Not applicable,Not applicable,6.4,per 100,3.93,10.35,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Central Zone (N.L.),Newfoundland and Labrador,Central Zone (N.L.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6.4,per 100,4.06,10.10,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Kootenay–Boundary HSDA (B.C.),British Columbia,Kootenay–Boundary HSDA (B.C.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6.4,per 100,3.63,11.19,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Lambton Public Health (Ont.),Ontario,Lambton Public Health (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6.4,per 100,3.68,10.81,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
North Central East Zone (Sask.),Saskatchewan,North Central East Zone (Sask.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6.4,per 100,3.62,11.14,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Neighbourhood income quintile,Q3,Not applicable,Not applicable,Not applicable,Not applicable,6.5,per 100,4.27,9.90,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Central Zone (N.L.),Newfoundland and Labrador,Central Zone (N.L.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6.5,per 100,4.11,10.18,-,No,Same as average performance,No change,Not a top result,-,-,-,-,24.3,-,-,-,-,"October 20, 2025"
Central Zone (N.S.),Nova Scotia,Central Zone (N.S.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6.5,per 100,4.82,8.75,-,Yes,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Côte-Nord Region (Que.),Quebec,Côte-Nord Region (Que.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6.5,per 100,3.66,11.19,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Grey Bruce Health Unit (Ont.),Ontario,Grey Bruce Health Unit (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6.5,per 100,4.39,9.60,-,Yes,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Lambton Public Health (Ont.),Ontario,Lambton Public Health (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6.5,per 100,3.91,10.64,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Peterborough Public Health (Ont.),Ontario,Peterborough Public Health (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6.5,per 100,4.01,10.51,-,Yes,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Saguenay–Lac-Saint-Jean Region (Que.),Quebec,Saguenay–Lac-Saint-Jean Region (Que.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6.5,per 100,4.66,8.96,-,Yes,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Labrador–Grenfell Zone (N.L.),Newfoundland and Labrador,Labrador–Grenfell Zone (N.L.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16.6,per 100,9.92,26.46,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Labrador–Grenfell Zone (N.L.),Newfoundland and Labrador,Labrador–Grenfell Zone (N.L.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5.0,per 100,1.72,13.86,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Canada,-,-,-,National,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Neighbourhood income quintile,Q2,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,9.24,10.37,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Canada,-,-,-,National,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Neighbourhood income quintile,Q4,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,9.21,10.51,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Canada,-,-,-,National,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Urban versus rural/remote,Urban,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,9.54,10.15,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Newfoundland and Labrador,Newfoundland and Labrador,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Neighbourhood income quintile,Q5 (highest income),Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,6.01,15.52,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Nova Scotia,Nova Scotia,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,7.86,12.07,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
New Brunswick,New Brunswick,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,8.32,11.45,-,No,,,,-,-,0.7,-7.2,-,-,-,-,-,"October 20, 2025"
New Brunswick,New Brunswick,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Neighbourhood income quintile,Q1 (lowest income),Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,7.10,13.39,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
New Brunswick,New Brunswick,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Neighbourhood income quintile,Q5 (highest income),Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,6.48,14.51,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Quebec,Quebec,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Neighbourhood income quintile,Q5 (highest income),Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,8.46,11.24,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Quebec,Quebec,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Neighbourhood income quintile,Q5 (highest income),Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,8.56,11.27,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Quebec,Quebec,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Urban versus rural/remote,Urban,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,9.21,10.46,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Quebec,Quebec,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Urban versus rural/remote,Urban,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,9.22,10.35,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Ontario,Ontario,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Neighbourhood income quintile,Q3,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,8.75,10.86,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Ontario,Ontario,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,8.68,11.07,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Neighbourhood income quintile,Q2,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,6.89,13.86,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Alberta,Alberta,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Neighbourhood income quintile,Q2,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,8.11,11.90,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Alberta,Alberta,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Neighbourhood income quintile,Q2,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,8.06,11.90,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Alberta,Alberta,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2023–2024,Neighbourhood income quintile,Q2,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,7.96,11.96,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
British Columbia,British Columbia,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,9.11,10.59,-,No,,,,-,-,1.0,-4.0,-,-,-,-,-,"October 20, 2025"
British Columbia,British Columbia,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2022–2023,Neighbourhood income quintile,Q5 (highest income),Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,8.04,11.91,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Calgary Zone (Alta.),Alberta,Calgary Zone (Alta.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,8.29,11.52,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Central Vancouver Island HSDA (B.C.),British Columbia,Central Vancouver Island HSDA (B.C.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,7.44,12.74,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Chatham-Kent Public Health (Ont.),Ontario,Chatham-Kent Public Health (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,6.59,14.45,-,No,Same as average performance,No change,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Chaudière-Appalaches Region (Que.),Quebec,Chaudière-Appalaches Region (Que.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,7.72,12.35,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
East Region (Ont.),Ontario,East Region (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,8.87,10.75,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Eastern Ontario Health Unit (Ont.),Ontario,Eastern Ontario Health Unit (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,7.00,13.61,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Fraser North HSDA (B.C.),British Columbia,Fraser North HSDA (B.C.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,7.66,12.47,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Fraser South HSDA (B.C.),British Columbia,Fraser South HSDA (B.C.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,8.09,11.78,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Gaspésie–Îles-de-la-Madeleine Region (Que.),Quebec,Gaspésie–Îles-de-la-Madeleine Region (Que.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,7.23,13.17,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Hastings Prince Edward Public Health (Ont.),Ontario,Hastings Prince Edward Public Health (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,6.75,14.16,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Interior Health (B.C.),British Columbia,Interior Health (B.C.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,8.40,11.45,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Interior Health (B.C.),British Columbia,Interior Health (B.C.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,8.32,11.52,-,No,Same as average performance,No change,Not a top result,-,-,-,-,124.2,-,-,-,-,"October 20, 2025"
Interlake–Eastern Health Region (Man.),Manitoba,Interlake–Eastern Health Region (Man.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,6.64,14.37,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
"Kingston, Frontenac and Lennox & Addington Public Health (Ont.)",Ontario,"Kingston, Frontenac and Lennox & Addington Public Health (Ont.)",-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,6.93,13.65,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Labrador–Grenfell Zone (N.L.),Newfoundland and Labrador,Labrador–Grenfell Zone (N.L.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,5.05,18.32,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Lanaudière Region (Que.),Quebec,Lanaudière Region (Que.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,7.89,12.21,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Montérégie Region (Que.),Quebec,Montérégie Region (Que.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,8.55,11.18,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Niagara Region Public Health (Ont.),Ontario,Niagara Region Public Health (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,7.80,12.18,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Porcupine Health Unit (Ont.),Ontario,Porcupine Health Unit (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,6.13,15.44,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Prairie Mountain Health Region (Man.),Manitoba,Prairie Mountain Health Region (Man.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,6.94,13.75,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Region of Waterloo Public Health (Ont.),Ontario,Region of Waterloo Public Health (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,7.74,12.42,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Simcoe Muskoka District Health Unit (Ont.),Ontario,Simcoe Muskoka District Health Unit (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,7.91,12.03,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
South Vancouver Island HSDA (B.C.),British Columbia,South Vancouver Island HSDA (B.C.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,7.44,12.79,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Southern Health Region (Man.),Manitoba,Southern Health Region (Man.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,6.76,13.97,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Southwestern Public Health (Ont.),Ontario,Southwestern Public Health (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,6.75,14.15,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Wellington–Dufferin–Guelph Public Health (Ont.),Ontario,Wellington–Dufferin–Guelph Public Health (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,7.46,12.88,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Windsor–Essex County Health Unit (Ont.),Ontario,Windsor–Essex County Health Unit (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,7.81,12.35,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Zone 2 (Saint John Area) (N.B.),New Brunswick,Zone 2 (Saint John Area) (N.B.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,7.01,13.52,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Zone 7 (Miramichi Area) (N.B.),New Brunswick,Zone 7 (Miramichi Area) (N.B.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.8,per 100,5.81,16.11,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Canada,-,-,-,National,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Neighbourhood income quintile,Q3,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,9.63,10.85,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Canada,-,-,-,National,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Neighbourhood income quintile,Q3,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,9.62,10.82,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Canada,-,-,-,National,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Neighbourhood income quintile,Q4,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,9.59,10.89,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Newfoundland and Labrador,Newfoundland and Labrador,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,8.65,12.06,-,No,,,,-,-,0.5,-26.5,-,-,-,-,-,"October 20, 2025"
Newfoundland and Labrador,Newfoundland and Labrador,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,8.29,12.50,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
New Brunswick,New Brunswick,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,8.72,11.80,-,No,Same as average performance,No change,,-,-,1.3,13.6,-,-,-,-,-,"October 20, 2025"
New Brunswick,New Brunswick,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Neighbourhood income quintile,Q2,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,7.26,14.29,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Quebec,Quebec,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Neighbourhood income quintile,Q1 (lowest income),Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,9.12,11.32,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Quebec,Quebec,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Neighbourhood income quintile,Q1 (lowest income),Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,9.30,11.21,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Quebec,Quebec,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2023–2024,Neighbourhood income quintile,Q1 (lowest income),Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,9.17,11.34,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Quebec,Quebec,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Neighbourhood income quintile,Q4,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,9.01,11.56,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Quebec,Quebec,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Neighbourhood income quintile,Q5 (highest income),Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,8.97,11.68,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Quebec,Quebec,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,9.25,11.27,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Ontario,Ontario,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Neighbourhood income quintile,Q2,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,9.27,11.27,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Alberta,Alberta,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,8.61,11.99,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Alberta,Alberta,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Urban versus rural/remote,Urban,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,9.19,11.40,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
British Columbia,British Columbia,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Neighbourhood income quintile,Q3,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,8.54,12.10,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
British Columbia,British Columbia,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Neighbourhood income quintile,Q5 (highest income),Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,8.33,12.48,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
British Columbia,British Columbia,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2023–2024,Neighbourhood income quintile,Q5 (highest income),Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,8.47,12.21,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Bas-Saint-Laurent Region (Que.),Quebec,Bas-Saint-Laurent Region (Que.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,7.66,13.39,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
